Bar,Date,Time,Open,High,Low,Close,CCI(20C),%K(141),%D(3)
46,11/12/07,13:15,146225,146300,146025,146300,,30.55,17.89
47,11/12/07,13:20,146275,146425,146200,146400,,41.66,30.74
48,11/12/07,13:25,146400,146500,146350,146425,,44.44,38.88
49,11/12/07,13:30,146425,146450,146250,146300,,30.55,38.88
50,11/12/07,13:35,146300,146300,145750,145775,,2.12,25.7
51,11/12/07,13:40,145775,145850,145575,145800,,16.66,16.44
52,11/12/07,13:45,145800,145850,145625,145800,,18,12.26
53,11/12/07,13:50,145800,145825,145450,145550,,7.84,14.16
54,11/12/07,13:55,145575,145825,145500,145675,,19.56,15.13
55,11/12/07,14:00,145700,145850,145650,145825,,35.71,21.04
56,11/12/07,14:05,145825,145875,145650,145725,,26.19,27.15
57,11/12/07,14:10,145725,145725,145525,145550,,9.52,23.8
58,11/12/07,14:15,145575,145700,145325,145550,-102.37,19.14,18.28
59,11/12/07,14:20,145550,145875,145525,145725,-61.06,34.04,20.9
60,11/12/07,14:25,145725,145975,145425,145825,-35.37,42.55,31.91
61,11/12/07,14:30,145800,146150,145800,146125,35.54,68.08,48.22
62,11/12/07,14:35,146150,146275,146050,146150,44.84,73.33,61.32
63,11/12/07,14:40,146150,146475,146150,146225,66.54,78.26,73.22
64,11/12/07,14:45,146225,146375,146125,146125,42.42,69.56,73.71
65,11/12/07,14:50,146125,146250,146000,146000,14.93,58.69,68.84
66,11/12/07,14:55,146000,146150,145975,146050,32.92,63.04,63.76
67,11/12/07,15:00,146075,146075,145575,145750,-44.29,36.95,52.89
68,11/12/07,15:05,145750,145850,145450,145825,-14.89,43.47,47.82
69,11/12/07,15:10,145800,145950,145650,145850,2.07,45.65,42.02
70,11/12/07,15:15,145850,145850,145550,145675,-66.86,30.43,39.85
71,11/12/07,15:20,145675,145775,145400,145525,-115.33,17.39,31.15
72,11/12/07,15:25,145500,145650,145075,145100,-220.75,1.78,16.53
73,11/12/07,15:30,145100,145525,145075,145425,-111.62,25,14.72
74,11/12/07,15:35,145425,145475,145225,145325,-126.88,17.85,14.88
75,11/12/07,15:40,145325,145350,144925,144950,-191.75,1.61,14.82
76,11/12/07,15:45,144950,145000,144375,144400,-244.05,1.19,6.88
77,11/12/07,15:50,144400,144550,144200,144475,-184.43,12.64,5.14
78,11/12/07,15:55,144500,144575,144225,144250,-176.78,2.43,5.42
79,11/13/07,09:30,145525,145625,145475,145600,9.35,71.79,28.95
80,11/13/07,09:35,145575,146125,145575,146100,75.03,98.7,57.64
81,11/13/07,09:40,146125,146300,145950,146000,62.97,85.71,85.4
82,11/13/07,09:45,146000,146000,145850,145975,61.63,84.52,89.64
83,11/13/07,09:50,145975,145975,145625,145775,38.28,75,81.74
84,11/13/07,09:55,145775,145900,145650,145875,55.5,79.76,79.76
85,11/13/07,10:00,145875,146125,145750,146000,73.82,85.71,80.15
86,11/13/07,10:05,145975,146250,145900,146125,91.07,91.66,85.71
87,11/13/07,10:10,146100,146325,146000,146275,104.86,97.64,91.67
88,11/13/07,10:15,146275,146275,145900,146000,64.18,84.7,91.33
