Bar,Date,Time,Open,High,Low,Close,Vol,ADX(1414),+DI(1414),-DI(1414)
34,01/25/06,00:00,81.05,81.62,80.61,80.91,6374300,,17.8,29.14
35,01/26/06,00:00,81.50,81.65,80.59,80.72,7810200,,16.89,27.37
36,01/27/06,00:00,80.75,81.77,80.75,81.02,6103400,,16.56,25.71
37,01/30/06,00:00,81.02,81.81,80.21,81.63,5325100,,15.05,26.44
38,01/31/06,00:00,81.50,82.00,81.17,81.30,6771600,,15.43,25.16
39,02/01/06,00:00,80.90,82.24,80.65,81.94,5417100,,14.04,25.85
40,02/02/06,00:00,81.45,81.59,80.90,81.23,6198000,,13.19,24.3
41,02/03/06,00:00,80.55,80.77,79.72,79.97,9852400,59.87,12.06,28.91
42,02/06/06,00:00,79.94,79.95,78.93,79.51,9568600,58.97,11.34,31.72
43,02/07/06,00:00,79.50,80.19,79.30,79.85,5252800,57.78,12.16,30.06
44,02/08/06,00:00,80.58,80.90,80.24,80.80,5030500,55.71,15.61,28.19
45,02/09/06,00:00,80.40,80.80,79.50,80.40,7609200,54.28,14.41,30.39
46,02/10/06,00:00,80.40,81.46,80.20,81.33,5371900,52.12,17.22,28.14
47,02/13/06,00:00,81.33,81.91,80.18,80.44,5257400,49.59,18.09,25.37
48,02/14/06,00:00,80.55,81.45,80.35,81.09,6075500,47.25,16.94,23.76
49,02/15/06,00:00,80.86,81.50,80.50,80.85,5052000,45.01,16.25,22.38
50,02/16/06,00:00,80.68,80.91,80.13,80.91,5310500,43.27,15.49,23.55
51,02/17/06,00:00,80.91,81.03,80.13,80.71,5298800,41.48,15.37,22.26
52,02/21/06,00:00,80.10,80.75,79.97,80.50,5838500,39.98,14.62,22.17
53,02/22/06,00:00,80.00,81.65,79.97,81.35,5294300,37.38,18.57,19.92
54,02/23/06,00:00,81.20,81.34,80.04,80.20,4979400,34.96,17.11,18.35
55,02/24/06,00:00,80.65,80.65,79.85,80.10,3903800,32.94,16.27,18.62
56,02/27/06,00:00,79.97,80.89,79.95,80.63,3787100,30.74,16.81,17.53
57,02/28/06,00:00,80.10,80.55,79.71,80.24,5960700,29.006,15.84,18.03
58,03/01/06,00:00,80.20,80.81,79.78,79.90,5211600,27.01,16.45,16.85
59,03/02/06,00:00,79.55,80.21,79.54,79.94,4418800,25.5,15.73,17.68
60,03/03/06,00:00,79.51,80.83,79.51,79.96,4354400,24.14,18.39,16.17
61,03/06/06,00:00,79.91,80.64,79.90,80.00,4709500,22.87,17.49,15.38
62,03/07/06,00:00,80.01,80.79,79.86,80.29,4330800,21.9,17.41,14.43
63,03/08/06,00:00,80.25,81.60,80.25,81.14,5569900,22.01,21.17,13.15
64,03/09/06,00:00,81.26,81.98,80.80,81.02,4310700,22.5,22.02,12.14
65,03/10/06,00:00,81.03,82.25,81.03,81.57,4787200,23.22,22.01,11.18
66,03/13/06,00:00,81.56,82.40,81.45,81.93,4571400,24.04,21.63,10.48
67,03/14/06,00:00,81.51,82.99,81.47,82.88,4532700,25.33,23.28,9.47
68,03/15/06,00:00,82.65,83.76,82.64,83.38,5370400,27.11,26.52,8.8
69,03/16/06,00:00,83.43,83.72,82.61,82.87,4299500,28.69,24.65,8.37
70,03/17/06,00:00,83.35,83.41,82.82,83.30,6414500,30.16,23.69,8.04
71,03/20/06,00:00,83.11,83.75,82.99,83.58,3870300,31.78,24.76,7.63
72,03/21/06,00:00,83.82,84.99,83.58,83.81,7404300,34.02,30.61,6.93
73,03/22/06,00:00,83.35,84.68,83.35,84.45,4968600,35.61,27.98,7.82
74,03/23/06,00:00,84.23,84.27,82.93,83.20,5105800,36.25,25.3,9.71
75,03/24/06,00:00,82.99,83.72,82.99,83.36,4198800,36.84,24.11,9.25
76,03/27/06,00:00,82.98,83.26,82.58,83.08,3910100,36.57,22.87,11.48
77,03/28/06,00:00,82.86,83.39,82.29,82.43,4508600,35.79,21.21,12.56
78,03/29/06,00:00,82.20,83.55,82.20,83.13,4633800,35.23,20.39,11.46
79,03/30/06,00:00,82.88,83.70,82.83,83.20,4467000,34.88,20.21,10.81
80,03/31/06,00:00,82.95,83.60,82.29,82.47,5862000,33.53,18.49,13.39
81,04/03/06,00:00,82.72,83.59,82.65,83.06,4121600,32.28,17.15,12.42
82,04/04/06,00:00,83.05,83.78,82.80,83.45,3856200,31.37,17.3,11.62
83,04/05/06,00:00,83.33,84.45,83.32,84.17,5523900,31.34,20.38,10.77
84,04/06/06,00:00,83.70,84.32,83.36,83.81,4944100,31.3,19.1,10.09
85,04/07/06,00:00,83.60,83.80,82.44,82.48,5337500,29.57,17.41,15.13
86,04/10/06,00:00,82.27,82.74,82.00,82.10,3631300,27.61,16.56,17.3
